Feature,Correlation,Corr_Pct,RF_Importance,RF_Pct,Perm_Importance,Perm_Pct,Corr_Rank,RF_Rank,Perm_Rank,Avg_Rank
monthly_spend,0.5511015567568502,27.75,0.27286574259566093,27.29,0.2860000000000001,30.34,1.0,1.0,1.0,1.0
avg_data_usage_gb,0.49089554934664364,24.71,0.150786746219346,15.08,0.15815000000000007,16.78,2.0,3.0,2.0,2.3333333333333335
complaint_count,0.07369149793624151,3.71,0.16016156545074123,16.02,0.10665000000000005,11.32,8.0,2.0,4.0,4.666666666666667
device_brand_Huawei,0.0884171000192568,4.45,0.04015349352930658,4.02,0.06255000000000002,6.64,4.0,5.0,5.0,4.666666666666667
device_brand_Apple,0.09463757537819623,4.76,0.03627034975368632,3.63,0.04775000000000003,5.07,3.0,7.0,6.0,5.333333333333333
device_brand_Realme,0.08716631417578558,4.39,0.03685435794731829,3.69,0.046350000000000044,4.92,5.0,6.0,7.0,6.0
pct_video_usage,0.0616357671835847,3.1,0.14275094929434978,14.28,0.15005000000000007,15.92,11.0,4.0,3.0,6.0
topup_freq,0.06264776398914917,3.15,0.020222887070639354,2.02,0.030250000000000034,3.21,10.0,10.0,8.0,9.333333333333334
travel_score,0.05249897780583747,2.64,0.03311532427157395,3.31,0.016550000000000054,1.76,13.0,8.0,10.0,10.333333333333334
device_brand_Xiaomi,0.08106955997946659,4.08,0.015045348648171841,1.5,0.00020000000000003348,0.02,6.0,11.0,14.5,10.5
avg_call_duration,0.05735879690722826,2.89,0.020916534661038533,2.09,0.0065500000000000445,0.69,12.0,9.0,12.0,11.0
device_brand_Samsung,0.06912138045272492,3.48,0.013971219381973383,1.4,0.00030000000000001136,0.03,9.0,12.0,13.0,11.333333333333334
device_brand_Vivo,0.07440755841283545,3.75,0.012720470302718086,1.27,-0.0005999999999999784,-0.06,7.0,14.0,17.0,12.666666666666666
plan_type_Prepaid,0.042782155292994346,2.15,0.011813318502080838,1.18,0.01760000000000005,1.87,15.5,15.0,9.0,13.166666666666666
plan_type_Postpaid,0.042782155292994346,2.15,0.009663441403125719,0.97,0.013800000000000034,1.46,15.5,17.0,11.0,14.5
sms_freq,0.008809485399776142,0.44,0.012806116572983951,1.28,0.00020000000000003348,0.02,17.0,13.0,14.5,14.833333333333334
device_brand_Oppo,0.04726015583085973,2.38,0.00988213439528523,0.99,0.0001500000000000168,0.02,14.0,16.0,16.0,15.333333333333334
